วันที่,เวลา,รหัสสินค้า,ชื่อเมนู,จำนวน,ราคาต่อหน่วย,ยอดรวม,ช่องทาง,รหัสสมาชิก
2026-06-02,10:59,C03,ลาเต้เย็น,1,70,70,หน้าร้าน,M001
2026-06-02,15:33,C02,อเมริกาโน่เย็น,3,60,180,Grab,
2026-06-02,17:04,N01,ชาไทยเย็น,1,60,60,Grab,
2026-06-02,17:35,N02,มัทฉะลาเต้,1,85,85,LINE MAN,
2026-06-02,17:53,C01,เอสเพรสโซ่,1,55,55,หน้าร้าน,M012
2026-06-03,07:06,N03,โกโก้เย็น,1,65,65,หน้าร้าน,M001
2026-06-03,07:27,C01,เอสเพรสโซ่,2,55,110,หน้าร้าน,
2026-06-03,08:10,N04,น้ำส้มคั้นสด,1,50,50,หน้าร้าน,
2026-06-03,08:16,C01,เอสเพรสโซ่,1,55,55,หน้าร้าน,
2026-06-03,08:41,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,M001
2026-06-03,08:42,C03,ลาเต้เย็น,1,70,70,หน้าร้าน,
2026-06-03,08:51,N04,น้ำส้มคั้นสด,2,50,100,Grab,
2026-06-03,08:52,B03,เค้กกล้วยหอม,1,45,45,หน้าร้าน,
2026-06-03,09:17,C02,อเมริกาโน่เย็น,1,60,60,Grab,
2026-06-03,09:32,C02,อเมริกาโน่เย็น,2,60,120,LINE MAN,
2026-06-03,10:16,B03,เค้กกล้วยหอม,2,45,90,Grab,
2026-06-03,10:53,C05,มอคค่าเย็น,1,75,75,หน้าร้าน,M003
2026-06-03,10:59,N02,มัทฉะลาเต้,2,85,170,Grab,
2026-06-03,11:42,B02,บราวนี่,2,55,110,หน้าร้าน,M012
2026-06-03,12:21,N03,โกโก้เย็น,1,65,65,หน้าร้าน,
2026-06-03,12:35,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,
2026-06-03,12:39,B04,คุกกี้ช็อกโกแลตชิพ,2,35,70,หน้าร้าน,
2026-06-03,12:42,C03,ลาเต้เย็น,1,70,70,หน้าร้าน,
2026-06-03,15:13,N02,มัทฉะลาเต้,1,85,85,หน้าร้าน,
2026-06-03,15:39,N03,โกโก้เย็น,2,65,130,LINE MAN,
2026-06-03,15:39,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,M018
2026-06-03,17:10,N03,โกโก้เย็น,1,65,65,หน้าร้าน,M007
2026-06-04,07:09,C03,ลาเต้เย็น,1,70,70,หน้าร้าน,M018
2026-06-04,08:19,C03,ลาเต้เย็น,1,70,70,Grab,
2026-06-04,08:24,B02,บราวนี่,3,55,165,หน้าร้าน,
2026-06-04,08:30,N01,ชาไทยเย็น,2,60,120,หน้าร้าน,
2026-06-04,08:51,B04,คุกกี้ช็อกโกแลตชิพ,1,35,35,Grab,
2026-06-04,08:54,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,
2026-06-04,09:03,C03,ลาเต้เย็น,1,70,70,หน้าร้าน,
2026-06-04,09:24,C04,คาปูชิโน่,1,70,70,หน้าร้าน,M005
2026-06-04,09:28,N02,มัทฉะลาเต้,1,85,85,หน้าร้าน,
2026-06-04,10:20,B04,คุกกี้ช็อกโกแลตชิพ,2,35,70,หน้าร้าน,
2026-06-04,10:38,B03,เค้กกล้วยหอม,1,45,45,LINE MAN,
2026-06-04,10:40,C03,ลาเต้เย็น,1,70,70,หน้าร้าน,M018
2026-06-04,10:45,N02,มัทฉะลาเต้,1,85,85,LINE MAN,
2026-06-04,10:53,B03,เค้กกล้วยหอม,1,45,45,Grab,
2026-06-04,12:00,B02,บราวนี่,2,55,110,หน้าร้าน,
2026-06-04,12:42,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,M025
2026-06-04,12:54,B02,บราวนี่,1,55,55,หน้าร้าน,
2026-06-04,14:28,C03,ลาเต้เย็น,1,70,70,หน้าร้าน,
2026-06-04,17:34,C01,เอสเพรสโซ่,1,55,55,หน้าร้าน,M005
2026-06-05,07:12,C02,อเมริกาโน่เย็น,2,60,120,หน้าร้าน,
2026-06-05,07:23,N01,ชาไทยเย็น,2,60,120,หน้าร้าน,
2026-06-05,08:14,C02,อเมริกาโน่เย็น,1,60,60,Grab,
2026-06-05,08:16,C05,มอคค่าเย็น,1,75,75,หน้าร้าน,
2026-06-05,08:17,B02,บราวนี่,2,55,110,LINE MAN,
2026-06-05,08:25,N02,มัทฉะลาเต้,1,85,85,หน้าร้าน,
2026-06-05,08:30,N02,มัทฉะลาเต้,1,85,85,LINE MAN,
2026-06-05,08:43,B03,เค้กกล้วยหอม,1,45,45,หน้าร้าน,M021
2026-06-05,08:44,N03,โกโก้เย็น,2,65,130,หน้าร้าน,M002
2026-06-05,09:01,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,
2026-06-05,09:27,N02,มัทฉะลาเต้,1,85,85,หน้าร้าน,M012
2026-06-05,09:46,N01,ชาไทยเย็น,1,60,60,LINE MAN,
2026-06-05,09:48,B04,คุกกี้ช็อกโกแลตชิพ,1,35,35,หน้าร้าน,
2026-06-05,10:27,B04,คุกกี้ช็อกโกแลตชิพ,1,35,35,หน้าร้าน,
2026-06-05,11:48,C01,เอสเพรสโซ่,1,55,55,หน้าร้าน,
2026-06-05,12:41,C03,ลาเต้เย็น,2,70,140,หน้าร้าน,
2026-06-05,12:41,N02,มัทฉะลาเต้,1,85,85,Grab,
2026-06-05,12:49,C05,มอคค่าเย็น,1,75,75,หน้าร้าน,
2026-06-05,13:03,B04,คุกกี้ช็อกโกแลตชิพ,1,35,35,หน้าร้าน,
2026-06-05,13:10,B04,คุกกี้ช็อกโกแลตชิพ,1,35,35,Grab,
2026-06-05,16:17,B02,บราวนี่,1,55,55,หน้าร้าน,
2026-06-06,07:14,N02,มัทฉะลาเต้,2,85,170,หน้าร้าน,M001
2026-06-06,07:18,N01,ชาไทยเย็น,1,60,60,LINE MAN,
2026-06-06,07:34,C02,อเมริกาโน่เย็น,1,60,60,Grab,
2026-06-06,07:43,B01,ครัวซองต์เนยสด,1,65,65,หน้าร้าน,
2026-06-06,07:55,N01,ชาไทยเย็น,2,60,120,หน้าร้าน,M002
2026-06-06,08:00,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,
2026-06-06,08:08,N02,มัทฉะลาเต้,2,85,170,Grab,
2026-06-06,08:14,C04,คาปูชิโน่,1,70,70,หน้าร้าน,M001
2026-06-06,08:35,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,
2026-06-06,08:49,C06,กาแฟโบราณ (เอสเย็น),1,45,45,หน้าร้าน,
2026-06-06,08:51,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,M020
2026-06-06,09:03,C03,ลาเต้เย็น,1,70,70,หน้าร้าน,
2026-06-06,09:05,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,M012
2026-06-06,09:07,N02,มัทฉะลาเต้,1,85,85,หน้าร้าน,M014
2026-06-06,09:09,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,
2026-06-06,09:50,N01,ชาไทยเย็น,2,60,120,หน้าร้าน,M022
2026-06-06,10:26,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,
2026-06-06,10:28,B03,เค้กกล้วยหอม,1,45,45,หน้าร้าน,
2026-06-06,10:56,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,
2026-06-06,11:39,C03,ลาเต้เย็น,1,70,70,หน้าร้าน,
2026-06-06,11:52,N01,ชาไทยเย็น,1,60,60,Grab,
2026-06-06,11:56,C06,กาแฟโบราณ (เอสเย็น),1,45,45,LINE MAN,
2026-06-06,12:07,C01,เอสเพรสโซ่,1,55,55,หน้าร้าน,
2026-06-06,12:17,N01,ชาไทยเย็น,2,60,120,Grab,
2026-06-06,12:18,N02,มัทฉะลาเต้,1,85,85,หน้าร้าน,M001
2026-06-06,12:44,C06,กาแฟโบราณ (เอสเย็น),1,45,45,หน้าร้าน,
2026-06-06,13:40,N01,ชาไทยเย็น,2,60,120,LINE MAN,
2026-06-06,14:27,C04,คาปูชิโน่,1,70,70,หน้าร้าน,
2026-06-06,14:30,C03,ลาเต้เย็น,1,70,70,หน้าร้าน,
2026-06-06,16:13,N02,มัทฉะลาเต้,1,85,85,Grab,
2026-06-06,16:44,C03,ลาเต้เย็น,1,70,70,หน้าร้าน,
2026-06-06,17:33,N01,ชาไทยเย็น,3,60,180,หน้าร้าน,M001
2026-06-07,07:10,N03,โกโก้เย็น,2,65,130,Grab,
2026-06-07,07:14,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,M021
2026-06-07,07:22,B04,คุกกี้ช็อกโกแลตชิพ,1,35,35,หน้าร้าน,
2026-06-07,07:40,N02,มัทฉะลาเต้,1,85,85,หน้าร้าน,
2026-06-07,07:52,N01,ชาไทยเย็น,2,60,120,หน้าร้าน,M003
2026-06-07,08:00,B02,บราวนี่,1,55,55,หน้าร้าน,
2026-06-07,08:31,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,
2026-06-07,08:44,C04,คาปูชิโน่,3,70,210,หน้าร้าน,M022
2026-06-07,09:19,C03,ลาเต้เย็น,1,70,70,หน้าร้าน,M019
2026-06-07,09:20,B02,บราวนี่,3,55,165,LINE MAN,
2026-06-07,09:34,C01,เอสเพรสโซ่,1,55,55,หน้าร้าน,
2026-06-07,09:43,B01,ครัวซองต์เนยสด,1,65,65,Grab,
2026-06-07,09:47,N02,มัทฉะลาเต้,1,85,85,หน้าร้าน,
2026-06-07,09:54,N04,น้ำส้มคั้นสด,1,50,50,หน้าร้าน,
2026-06-07,09:54,B01,ครัวซองต์เนยสด,1,65,65,หน้าร้าน,M015
2026-06-07,10:37,C05,มอคค่าเย็น,1,75,75,หน้าร้าน,M001
2026-06-07,10:58,C04,คาปูชิโน่,1,70,70,หน้าร้าน,
2026-06-07,12:05,B03,เค้กกล้วยหอม,1,45,45,หน้าร้าน,M012
2026-06-07,12:26,B02,บราวนี่,3,55,165,Grab,
2026-06-07,12:46,N04,น้ำส้มคั้นสด,1,50,50,Grab,
2026-06-07,13:03,B03,เค้กกล้วยหอม,2,45,90,หน้าร้าน,
2026-06-07,13:14,N02,มัทฉะลาเต้,1,85,85,หน้าร้าน,
2026-06-07,13:16,C05,มอคค่าเย็น,1,75,75,หน้าร้าน,
2026-06-07,13:18,C05,มอคค่าเย็น,1,75,75,LINE MAN,
2026-06-07,13:24,B04,คุกกี้ช็อกโกแลตชิพ,2,35,70,หน้าร้าน,M005
2026-06-07,14:39,N03,โกโก้เย็น,1,65,65,หน้าร้าน,M015
2026-06-07,14:54,N01,ชาไทยเย็น,3,60,180,หน้าร้าน,
2026-06-07,16:09,N04,น้ำส้มคั้นสด,1,50,50,หน้าร้าน,
2026-06-07,16:18,N04,น้ำส้มคั้นสด,1,50,50,Grab,
2026-06-07,17:47,C02,อเมริกาโน่เย็น,3,60,180,หน้าร้าน,
2026-06-08,07:23,C03,ลาเต้เย็น,1,70,70,LINE MAN,
2026-06-08,07:30,B02,บราวนี่,1,55,55,Grab,
2026-06-08,07:47,C06,กาแฟโบราณ (เอสเย็น),1,45,45,Grab,
2026-06-08,07:50,C04,คาปูชิโน่,3,70,210,หน้าร้าน,M018
2026-06-08,07:50,B03,เค้กกล้วยหอม,1,45,45,หน้าร้าน,
2026-06-08,08:11,C02,อเมริกาโน่เย็น,2,60,120,Grab,
2026-06-08,08:13,N04,น้ำส้มคั้นสด,1,50,50,หน้าร้าน,
2026-06-08,09:23,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,
2026-06-08,09:43,C05,มอคค่าเย็น,2,75,150,หน้าร้าน,M003
2026-06-08,09:46,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,
2026-06-08,09:50,C03,ลาเต้เย็น,1,70,70,Grab,
2026-06-08,09:50,N02,มัทฉะลาเต้,2,85,170,หน้าร้าน,
2026-06-08,10:20,C05,มอคค่าเย็น,1,75,75,หน้าร้าน,
2026-06-08,11:17,B02,บราวนี่,1,55,55,Grab,
2026-06-08,12:13,C06,กาแฟโบราณ (เอสเย็น),2,45,90,หน้าร้าน,
2026-06-08,12:28,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,M018
2026-06-08,12:47,N02,มัทฉะลาเต้,1,85,85,หน้าร้าน,
2026-06-08,15:41,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,
2026-06-08,16:52,C06,กาแฟโบราณ (เอสเย็น),1,45,45,หน้าร้าน,
2026-06-09,07:13,C04,คาปูชิโน่,1,70,70,Grab,
2026-06-09,07:17,N01,ชาไทยเย็น,2,60,120,หน้าร้าน,
2026-06-09,07:47,C05,มอคค่าเย็น,1,75,75,Grab,
2026-06-09,08:20,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,M008
2026-06-09,08:42,N01,ชาไทยเย็น,2,60,120,หน้าร้าน,
2026-06-09,08:42,C06,กาแฟโบราณ (เอสเย็น),1,45,45,หน้าร้าน,M012
2026-06-09,09:18,N02,มัทฉะลาเต้,1,85,85,หน้าร้าน,M018
2026-06-09,09:21,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,
2026-06-09,10:25,C02,อเมริกาโน่เย็น,2,60,120,หน้าร้าน,M013
2026-06-09,10:53,N02,มัทฉะลาเต้,1,85,85,หน้าร้าน,
2026-06-09,11:56,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,
2026-06-09,12:01,C03,ลาเต้เย็น,2,70,140,หน้าร้าน,M007
2026-06-09,12:30,C02,อเมริกาโน่เย็น,2,60,120,Grab,
2026-06-09,13:39,N02,มัทฉะลาเต้,1,85,85,หน้าร้าน,
2026-06-09,13:55,B03,เค้กกล้วยหอม,1,45,45,หน้าร้าน,M018
2026-06-09,16:35,C04,คาปูชิโน่,1,70,70,หน้าร้าน,
2026-06-10,07:06,N01,ชาไทยเย็น,1,60,60,LINE MAN,
2026-06-10,07:16,C03,ลาเต้เย็น,1,70,70,หน้าร้าน,
2026-06-10,07:58,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,
2026-06-10,08:30,N01,ชาไทยเย็น,3,60,180,หน้าร้าน,
2026-06-10,08:49,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,
2026-06-10,09:46,B04,คุกกี้ช็อกโกแลตชิพ,1,35,35,Grab,
2026-06-10,09:49,C04,คาปูชิโน่,1,70,70,หน้าร้าน,
2026-06-10,10:25,B02,บราวนี่,2,55,110,LINE MAN,
2026-06-10,11:09,C06,กาแฟโบราณ (เอสเย็น),1,45,45,หน้าร้าน,
2026-06-10,11:18,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,
2026-06-10,11:22,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,M003
2026-06-10,11:53,N02,มัทฉะลาเต้,1,85,85,หน้าร้าน,M012
2026-06-10,11:54,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,
2026-06-10,12:28,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,
2026-06-10,12:56,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,
2026-06-10,12:58,C04,คาปูชิโน่,3,70,210,หน้าร้าน,
2026-06-10,13:04,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,
2026-06-10,14:45,C02,อเมริกาโน่เย็น,1,60,60,Grab,
2026-06-10,14:58,N01,ชาไทยเย็น,1,60,60,Grab,
2026-06-10,16:47,B03,เค้กกล้วยหอม,1,45,45,หน้าร้าน,
2026-06-11,07:54,N04,น้ำส้มคั้นสด,1,50,50,หน้าร้าน,
2026-06-11,08:24,N02,มัทฉะลาเต้,1,85,85,Grab,
2026-06-11,08:41,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,
2026-06-11,08:49,N01,ชาไทยเย็น,1,60,60,Grab,
2026-06-11,08:51,N03,โกโก้เย็น,2,65,130,LINE MAN,
2026-06-11,09:10,C03,ลาเต้เย็น,1,70,70,หน้าร้าน,
2026-06-11,09:18,N03,โกโก้เย็น,2,65,130,LINE MAN,
2026-06-11,10:07,C04,คาปูชิโน่,2,70,140,LINE MAN,
2026-06-11,10:10,N04,น้ำส้มคั้นสด,2,50,100,Grab,
2026-06-11,10:42,C04,คาปูชิโน่,2,70,140,Grab,
2026-06-11,12:02,C06,กาแฟโบราณ (เอสเย็น),1,45,45,LINE MAN,
2026-06-11,12:32,C05,มอคค่าเย็น,1,75,75,LINE MAN,
2026-06-11,12:36,B04,คุกกี้ช็อกโกแลตชิพ,1,35,35,หน้าร้าน,
2026-06-11,12:47,B04,คุกกี้ช็อกโกแลตชิพ,2,35,70,Grab,
2026-06-11,15:09,B01,ครัวซองต์เนยสด,1,65,65,หน้าร้าน,
2026-06-12,07:13,B01,ครัวซองต์เนยสด,1,65,65,หน้าร้าน,
2026-06-12,07:18,C03,ลาเต้เย็น,1,70,70,LINE MAN,
2026-06-12,07:32,N01,ชาไทยเย็น,2,60,120,หน้าร้าน,M018
2026-06-12,07:37,N03,โกโก้เย็น,1,65,65,Grab,
2026-06-12,08:02,N04,น้ำส้มคั้นสด,2,50,100,หน้าร้าน,M018
2026-06-12,09:02,N03,โกโก้เย็น,1,65,65,หน้าร้าน,
2026-06-12,09:11,N04,น้ำส้มคั้นสด,1,50,50,หน้าร้าน,
2026-06-12,09:24,C04,คาปูชิโน่,1,70,70,หน้าร้าน,
2026-06-12,09:42,N02,มัทฉะลาเต้,1,85,85,หน้าร้าน,
2026-06-12,10:50,B04,คุกกี้ช็อกโกแลตชิพ,1,35,35,หน้าร้าน,
2026-06-12,10:52,N02,มัทฉะลาเต้,2,85,170,หน้าร้าน,
2026-06-12,11:23,C03,ลาเต้เย็น,1,70,70,หน้าร้าน,M021
2026-06-12,11:39,C06,กาแฟโบราณ (เอสเย็น),1,45,45,หน้าร้าน,
2026-06-12,12:08,N03,โกโก้เย็น,1,65,65,หน้าร้าน,
2026-06-12,12:21,N04,น้ำส้มคั้นสด,1,50,50,หน้าร้าน,
2026-06-12,13:17,N04,น้ำส้มคั้นสด,2,50,100,Grab,
2026-06-12,14:21,C03,ลาเต้เย็น,2,70,140,หน้าร้าน,
2026-06-12,16:26,C02,อเมริกาโน่เย็น,1,60,60,LINE MAN,
2026-06-12,17:23,C03,ลาเต้เย็น,1,70,70,Grab,
2026-06-13,07:42,N02,มัทฉะลาเต้,1,85,85,หน้าร้าน,
2026-06-13,07:43,B04,คุกกี้ช็อกโกแลตชิพ,3,35,105,หน้าร้าน,
2026-06-13,07:49,C04,คาปูชิโน่,1,70,70,หน้าร้าน,M016
2026-06-13,08:07,C01,เอสเพรสโซ่,1,55,55,หน้าร้าน,
2026-06-13,08:08,B02,บราวนี่,1,55,55,หน้าร้าน,
2026-06-13,08:15,B01,ครัวซองต์เนยสด,1,65,65,หน้าร้าน,M012
2026-06-13,08:31,C01,เอสเพรสโซ่,1,55,55,หน้าร้าน,
2026-06-13,09:04,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,
2026-06-13,09:26,N04,น้ำส้มคั้นสด,2,50,100,Grab,
2026-06-13,09:29,C03,ลาเต้เย็น,1,70,70,หน้าร้าน,
2026-06-13,09:33,B02,บราวนี่,2,55,110,LINE MAN,
2026-06-13,09:36,C01,เอสเพรสโซ่,1,55,55,หน้าร้าน,
2026-06-13,09:40,C01,เอสเพรสโซ่,2,55,110,หน้าร้าน,
2026-06-13,10:18,B02,บราวนี่,2,55,110,หน้าร้าน,
2026-06-13,10:20,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,
2026-06-13,10:39,B02,บราวนี่,1,55,55,หน้าร้าน,
2026-06-13,11:11,N04,น้ำส้มคั้นสด,1,50,50,หน้าร้าน,
2026-06-13,11:35,C04,คาปูชิโน่,1,70,70,หน้าร้าน,M019
2026-06-13,11:50,C05,มอคค่าเย็น,1,75,75,หน้าร้าน,
2026-06-13,12:10,N03,โกโก้เย็น,1,65,65,Grab,
2026-06-13,14:01,C02,อเมริกาโน่เย็น,3,60,180,หน้าร้าน,M018
2026-06-13,14:22,N02,มัทฉะลาเต้,1,85,85,หน้าร้าน,
2026-06-13,14:33,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,
2026-06-13,16:09,B01,ครัวซองต์เนยสด,1,65,65,หน้าร้าน,M001
2026-06-13,16:09,C03,ลาเต้เย็น,1,70,70,หน้าร้าน,M002
2026-06-13,17:41,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,M018
2026-06-14,07:01,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,M020
2026-06-14,07:43,N01,ชาไทยเย็น,2,60,120,หน้าร้าน,M005
2026-06-14,08:07,C04,คาปูชิโน่,1,70,70,Grab,
2026-06-14,08:07,B04,คุกกี้ช็อกโกแลตชิพ,1,35,35,หน้าร้าน,
2026-06-14,08:18,B04,คุกกี้ช็อกโกแลตชิพ,1,35,35,หน้าร้าน,
2026-06-14,08:19,N04,น้ำส้มคั้นสด,2,50,100,หน้าร้าน,
2026-06-14,08:24,B02,บราวนี่,1,55,55,หน้าร้าน,
2026-06-14,08:30,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,M011
2026-06-14,08:39,N03,โกโก้เย็น,1,65,65,หน้าร้าน,
2026-06-14,08:39,N03,โกโก้เย็น,1,65,65,หน้าร้าน,
2026-06-14,09:29,B04,คุกกี้ช็อกโกแลตชิพ,1,35,35,หน้าร้าน,M021
2026-06-14,09:35,B03,เค้กกล้วยหอม,2,45,90,LINE MAN,
2026-06-14,10:14,N03,โกโก้เย็น,1,65,65,Grab,
2026-06-14,10:23,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,
2026-06-14,10:31,B02,บราวนี่,1,55,55,Grab,
2026-06-14,10:34,C05,มอคค่าเย็น,2,75,150,หน้าร้าน,
2026-06-14,10:42,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,
2026-06-14,10:45,N01,ชาไทยเย็น,1,60,60,Grab,
2026-06-14,11:25,N01,ชาไทยเย็น,1,60,60,Grab,
2026-06-14,11:39,N04,น้ำส้มคั้นสด,1,50,50,หน้าร้าน,M023
2026-06-14,12:01,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,
2026-06-14,12:13,C03,ลาเต้เย็น,1,70,70,หน้าร้าน,
2026-06-14,12:18,N01,ชาไทยเย็น,2,60,120,หน้าร้าน,
2026-06-14,12:39,N01,ชาไทยเย็น,3,60,180,LINE MAN,
2026-06-14,12:48,C06,กาแฟโบราณ (เอสเย็น),1,45,45,Grab,
2026-06-14,13:21,N01,ชาไทยเย็น,1,60,60,Grab,
2026-06-14,13:59,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,
2026-06-14,15:55,B01,ครัวซองต์เนยสด,2,65,130,หน้าร้าน,
2026-06-14,17:08,N04,น้ำส้มคั้นสด,1,50,50,Grab,
2026-06-15,07:35,B04,คุกกี้ช็อกโกแลตชิพ,1,35,35,หน้าร้าน,
2026-06-15,07:47,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,
2026-06-15,07:58,C03,ลาเต้เย็น,2,70,140,Grab,
2026-06-15,08:15,C01,เอสเพรสโซ่,1,55,55,หน้าร้าน,M018
2026-06-15,08:25,N02,มัทฉะลาเต้,1,85,85,Grab,
2026-06-15,08:29,B04,คุกกี้ช็อกโกแลตชิพ,1,35,35,หน้าร้าน,
2026-06-15,09:41,C03,ลาเต้เย็น,3,70,210,หน้าร้าน,
2026-06-15,11:03,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,
2026-06-15,11:45,C03,ลาเต้เย็น,2,70,140,หน้าร้าน,
2026-06-15,12:00,C03,ลาเต้เย็น,1,70,70,LINE MAN,
2026-06-15,12:29,C04,คาปูชิโน่,1,70,70,หน้าร้าน,
2026-06-15,13:11,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,
2026-06-15,14:29,C03,ลาเต้เย็น,2,70,140,หน้าร้าน,
2026-06-15,15:05,N02,มัทฉะลาเต้,1,85,85,หน้าร้าน,
2026-06-15,15:53,C05,มอคค่าเย็น,1,75,75,หน้าร้าน,
2026-06-15,15:56,C01,เอสเพรสโซ่,1,55,55,หน้าร้าน,
2026-06-16,07:28,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,M017
2026-06-16,07:57,C02,อเมริกาโน่เย็น,2,60,120,Grab,
2026-06-16,08:34,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,M018
2026-06-16,08:56,N03,โกโก้เย็น,1,65,65,หน้าร้าน,
2026-06-16,09:03,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,M003
2026-06-16,09:38,C05,มอคค่าเย็น,2,75,150,หน้าร้าน,
2026-06-16,09:46,N01,ชาไทยเย็น,1,60,60,หน้าร้าน,M001
2026-06-16,09:49,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,
2026-06-16,09:57,N01,ชาไทยเย็น,2,60,120,หน้าร้าน,
2026-06-16,09:57,C05,มอคค่าเย็น,2,75,150,หน้าร้าน,
2026-06-16,10:46,B04,คุกกี้ช็อกโกแลตชิพ,2,35,70,หน้าร้าน,
2026-06-16,11:28,N01,ชาไทยเย็น,2,60,120,Grab,
2026-06-16,12:25,C06,กาแฟโบราณ (เอสเย็น),1,45,45,หน้าร้าน,
2026-06-16,12:37,C02,อเมริกาโน่เย็น,1,60,60,หน้าร้าน,
2026-06-16,12:40,B03,เค้กกล้วยหอม,1,45,45,หน้าร้าน,M007
2026-06-16,12:42,B02,บราวนี่,1,55,55,หน้าร้าน,M013
